ZONA COOR
Piemonte2-01-e 44.742074,8.373294,11.806mi
Piemonte2-01-f 44.864847,8.807253,14.292mi
Piemonte1-01-a 45.080719,7.598757,6.214mi
Piemonte2-02-a 45.898441,8.338961,21.127mi
Piemonte2-02-b 45.430092,8.322482,17.398mi
Piemonte2-02-c 45.050970,8.402851,10.563mi
Piemonte1-02-a 45.396729,7.613936,17.398mi
Piemonte1-02-b 45.133827,7.957259,11.185mi
Piemonte1-02-c 44.888195,7.667494,8.699mi
Piemonte1-02-d 45.006774,7.071486,20.505mi
Lombardia2-01-a 45.836049,8.793405,8.078mi
Lombardia2-01-b 45.642884,8.832487,6.835mi
Lombardia2-01-c 45.613112,9.039854,4.115mi
Lombardia1-03-a 45.447258,9.156376,6.214mi
Lombardia4-01-a 45.199348,8.772351,11.806mi
Lombardia4-01-b 45.072555,9.168744,10.563mi
Lombardia4-01-c 45.213008,9.488751,9.321mi
Lombardia4-01-d 45.359869,9.381634,4.043mi
Lombardia1-04-a 45.475794,8.905505,8.078mi
Lombardia1-04-b 45.315908,9.056567,5.533mi
Lombardia1-04-c 45.296932,9.238082,4.994mi
Lombardia2-02-a 45.768780,9.056689,5.651mi
Lombardia2-02-b 45.849109,9.406931,11.806mi
Lombardia2-02-c 45.887359,9.097940,4.197mi
Lombardia2-02-d 46.046957,9.174845,8.078mi
Lombardia2-02-e 46.293843,9.405558,13.670mi
Lombardia2-02-f 46.407591,10.317423,13.670mi
Lombardia2-02-g 46.248277,9.858744,13.670mi
Lombardia3-01-a 45.647067,10.110635,13.670mi
Lombardia3-01-b 45.458584,10.467691,11.806mi
Lombardia3-01-c 45.756787,10.541849,9.942mi
Lombardia3-01-d 46.000009,10.355081,13.670mi
Lombardia3-01-e 45.338241,10.066690,11.185mi
Lombardia3-02-c 45.511731,9.717874,9.321mi
Lombardia3-02-a 45.730527,9.728860,8.078mi
Lombardia3-02-b 45.942550,9.857950,11.185mi
Lombardia1-02-a 45.613653,9.138146,5.543mi
Lombardia1-02-b 45.539637,9.230156,2.667mi
Lombardia1-02-c 45.492389,9.320107,3.196mi
Lombardia1-02-d 45.405309,9.315987,3.260mi
Lombardia1-01-a 45.512423,9.458809,3.988mi
Lombardia1-01-b 45.600946,9.342079,4.714mi
Lombardia1-01-c 45.667310,9.259682,3.483mi
Lombardia1-01-d 45.623867,9.489708,3.773mi
Lombardia4-02-a 45.324990,9.722398,5.466mi
Lombardia4-02-b 45.110960,10.244965,13.670mi
Lombardia4-02-c 45.139253,10.764069,13.670mi
Veneto2-03-a 45.500781,11.011261,14.913mi
Veneto2-03-b 45.201604,11.261200,10.563mi
Veneto2-03-c 45.072060,11.641798,9.321mi
Veneto2-03-d 45.074000,11.962356,6.214mi
Veneto1-01-a 45.345866,12.697067,26.098mi
Veneto1-01-b 45.479339,12.116041,5.098mi
Veneto1-02-a 45.882360,12.172559,18.641mi
Veneto2-02-a 45.675481,11.573804,18.641mi
Veneto2-01-a 45.321254,11.900647,14.292mi
Basilicata-01-a 40.530437,16.131878,40mi
Molise-01-a 41.731937,14.687988,25mi
Umbria-01-a 43.089314,12.440961,30mi
Friuli-01-a 46.080145,13.433127,40mi
Trentino-01-a 46.436546,11.140137,47mi
